"ID","Component","Status","Summary","AllLabels","OS","Opened","OpenedTimestamp","CVE","Security_Severity","MergedInto"
"74585","Internals","Verified","Crash in CookieMonster DeleteAnyEquivalentCookie.","M-11, OS-All, Pri-1, Restrict-AddIssueComment-EditIssue, Security_Impact-None, Security_Severity-Critical, Stability-Crash, Stability-Memory, Type-Bug-Security, allpublic, bulkmove","All","Mar 01, 2011 20:42:14","1299012134","","Critical",""
"75021","Internals","Fixed","Use-after-free in InfoBar since ~r76800","M-11, Pri-1, Restrict-AddIssueComment-EditIssue, Security_Impact-None, Security_Severity-Critical, Type-Bug-Security, allpublic","","Mar 05, 2011 12:05:36","1299326736","","Critical",""
"75629","Blink, Blink>WebGL","Fixed","Use after free in gpu::gles2::ShaderTranslator","M-11, Pri-0, ReleaseBlock-Stable, Restrict-AddIssueComment-EditIssue, Security, Security_Impact-Stable, Security_Severity-Critical, Type-Bug-Security, allpublic","","Mar 10, 2011 16:28:04","1299774484","","Critical",""
"76018","Internals","Fixed","Crash in network stack when running http/tests/loading/redirect-methods.html","M-13, OS-All, Pri-1, Restrict-AddIssueComment-EditIssue, Security, Security_Impact-None, Security_Severity-Critical, Type-Bug-Security, allpublic","All","Mar 14, 2011 07:36:58","1300088218","","Critical",""
"76202","Internals, Internals>Network, UI>Browser>Downloads","Fixed","DownloadThrottlingResourceHandler::OnResponseCompleted NOTREACHED()","M-12, OS-All, Pri-1, Restrict-AddIssueComment-EditIssue, Security, Security_Impact-None, Security_Severity-Critical, Stability-Crash, Type-Bug-Security, allpublic","All","Mar 15, 2011 16:42:24","1300207344","","Critical",""
"76589","Blink","Verified","Crash@ anonymous namespace'::PureCall() when navigate to previous page while speech input API fetching result text","M-11, Pri-1, Restrict-AddIssueComment-EditIssue, Security_Impact-Stable, Security_Severity-Critical, Stability-Crash, Type-Bug-Security, allpublic, bulkmove, html5","","Mar 17, 2011 21:49:18","1300398558","","Critical",""
"78038","Internals, Internals>Network>SSL","Fixed","ThreadSanitizer reports a potential use after free in net::X509Certificate::Verify","M-13, OS-Linux, Pri-2, Restrict-AddIssueComment-EditIssue, Security_Impact-Stable, Security_Severity-Critical, Stability-ThreadSanitizer, Type-Bug-Security, allpublic","Linux","Mar 31, 2011 14:13:58","1301580838","","Critical",""
"78524","Blink>WebGL, Internals","Fixed","ANGLE buffer overflow","M-10, Pri-0, Restrict-AddIssueComment-EditIssue, Reward-1000, Security_Impact-Stable, Security_Severity-Critical, Type-Bug-Security, allpublic","","Apr 06, 2011 00:22:16","1302049336","","Critical",""
"78861","Internals","Fixed","Memory corruption in RenderViewHost related to observers code","M-12, OS-All, Pri-1, Restrict-AddIssueComment-EditIssue, Security_Impact-None, Security_Severity-Critical, Type-Bug-Security, allpublic","All","Apr 08, 2011 21:51:23","1302299483","","Critical",""
"197182","OS>Packages","Verified","xrdb < 1.0.9 vulnerable to remote arbitrary code execution CVE-2011-0465","M-12, OS-Chrome, Pri-0, Security, Security_Severity-Critical, Sev-0","Chrome","Apr 12, 2011 23:41:48","1302651708","","Critical",""
"82873","Blink>WebGL, Internals","Fixed","Memory corruption in GPU command buffer","CVE-2011-1806, M-12, OS-All, Pri-0, Restrict-AddIssueComment-EditIssue, Security_Impact-Stable, Security_Severity-Critical, Stability-Memory-AddressSanitizer, Type-Bug-Security, allpublic","All","May 17, 2011 03:29:58","1305602998","2011-1806","Critical",""
"82903","Blink","Fixed","OOB write in BlobURLRequestJob::HeadersCompleted","ApprovedForMerge, CVE-2011-1807, M-11, OS-All, Pri-0, Restrict-AddIssueComment-EditIssue, Security_Impact-Stable, Security_Severity-Critical, Stability-Memory-AddressSanitizer, Type-Bug-Security, allpublic","All","May 17, 2011 12:32:23","1305635543","2011-1807","Critical",""
"84919","Blink","Fixed","Memory corruption in browser process with interstitial that goes back","M-13, OS-All, Pri-1, Restrict-AddIssueComment-EditIssue, Security_Impact-None, Security_Severity-Critical, Type-Bug-Security, allpublic","All","Jun 04, 2011 01:50:07","1307152207","","Critical",""
"88944","Blink, Blink>Storage>IndexedDB","Fixed","Use-after free in leveldb","M-14, Merge-Merged, OS-All, Pri-1, Restrict-AddIssueComment-EditIssue, Security_Impact-None, Security_Severity-Critical, Type-Bug-Security, allpublic, reward-3133","All","Jul 11, 2011 17:53:22","1310406802","","Critical",""
"89836","","Fixed","Tracking bug for ANGLE memory corruption on Windows","CVE-2011-2806, M-13, Merge-Merged, OS-Windows, Pri-0, Restrict-AddIssueComment-EditIssue, Reward-1337, Security_Impact-Stable, Security_Severity-Critical, Type-Bug-Security, allpublic","Windows","Jul 20, 2011 03:55:16","1311134116","2011-2806","Critical",""
"91020","Internals, Internals>Media","Fixed","Use after free in MediaTest.FLAKY_VideoBearWebm on Mac OS","M-14, Merge-Merged, OS-Mac, OS-Windows, Pri-0, Restrict-AddIssueComment-EditIssue, Security_Impact-None, Security_Severity-Critical, Stability-Memory-AddressSanitizer, Type-Bug-Security, allpublic","Mac, Windows","Jul 29, 2011 19:01:35","1311966095","","Critical",""
"91223","Internals","WontFix","Unspecified focus management bug involving modal dialogs causes memory corruption in the BROWSER process.","M-16, OS-Windows, Pri-1, Restrict-AddIssueComment-EditIssue, Security_Severity-Critical, Type-Bug-Security, allpublic","Windows","Aug 01, 2011 17:57:16","1312221436","","Critical",""
"202883","Services>SignIn","Verified","Security: Remove DigiNotar from root CA list","Iteration-37, M-13, M-14, M-15, OS-Chrome, Pri-1, ReleaseBlock-Beta, ReleaseBlock-Dev, ReleaseBlock-Stable, Security, Security_Severity-Critical, Sev-0, Type-Bug, VerifiedIn-0.13.587.129, VerifiedIn-0.14.811.77, VerifyIn-R13, VerifyIn-R14, VerifyIn-R15","Chrome","Aug 29, 2011 20:36:42","1314650202","","Critical",""
"98089","Internals, Internals>GPU>Internals","Fixed","memory corruption in ANGLE shader translator","CVE-2011-3873, M-14, Merge-Merged, OS-Windows, Pri-2, Restrict-AddIssueComment-EditIssue, Security_Impact-Stable, Security_Severity-Critical, Type-Bug-Security, allpublic, reward-NA","Windows","Sep 26, 2011 21:15:55","1317071755","2011-3873","Critical",""
"101835","UI, UI>Browser>FullScreen","Fixed","Exit full screen button crashs browser","M-16, Merge-Merged, Merge-Merged-912, OS-Mac, Pri-1, Restrict-AddIssueComment-EditIssue, Security_Impact-None, Security_Severity-Critical, Type-Bug-Security, allpublic","Mac","Oct 26, 2011 22:41:25","1319668885","","Critical",""
"106558","Internals","WontFix","Global-buffer-overflow in net::HttpStreamParser::DoReadBody","Clusterfuzz, M-16, OS-All, Pri-1, Restrict-AddIssueComment-EditIssue, Security_Impact-Stable, Security_Severity-Critical, Stability-Memory-AddressSanitizer, Type-Bug-Security, allpublic","All","Dec 06, 2011 17:24:55","1323192295","","Critical",""
"106560","Internals","WontFix","Global-buffer-overflow in disk_cache::MemEntryImpl::InternalWriteData","Clusterfuzz, M-16, OS-All, Pri-1, Restrict-AddIssueComment-EditIssue, Security_Impact-Stable, Security_Severity-Critical, Stability-Memory-AddressSanitizer, Type-Bug-Security, allpublic","All","Dec 06, 2011 17:50:30","1323193830","","Critical",""
"107182","UI, UI>Browser>Navigation, UI>Browser>SafeBrowsing","Fixed","Heap use after free with malware blocking page","CVE-2011-3925, M-16, Merge-Merged, Merge-Merged-912, OS-All, Pri-0, Restrict-AddIssueComment-EditIssue, Security_Impact-Stable, Security_Severity-Critical, Type-Bug-Security, allpublic, merge-merged-963, reward-3133","All","Dec 12, 2011 07:08:53","1323673733","2011-3925","Critical",""
"107376","Internals","Fixed","Memory corruption crash in ExtensionPrefs::MigrateAppIndex.","M-18, OS-All, Pri-1, Restrict-AddIssueComment-EditIssue, Security_Impact-None, Security_Severity-Critical, Type-Bug-Security, allpublic","All","Dec 13, 2011 18:41:01","1323801661","","Critical",""
"108071","Blink, Blink>Storage>IndexedDB, Internals","Fixed","Browser process heap-use-after-free with indexeddb cursors","M-17, Merge-Merged, OS-All, Pri-0, Restrict-AddIssueComment-EditIssue, Security_Impact-Beta, Security_Severity-Critical, Stability-Memory-AddressSanitizer, Type-Bug-Security, WebKit-ID-75596-NEW, allpublic, merge-merged-963, reward-3133","All","Dec 19, 2011 17:10:16","1324314616","","Critical",""
"108871","Blink, Blink>Storage>IndexedDB","Fixed","IndexedDB with autoincrement fails on object put and crashes chrome","CVE-2011-3961, M-17, Merge-Merged, OS-All, Pri-0, ReleaseBlock-Stable, Restrict-AddIssueComment-EditIssue, Reward-1000, Security_Impact-Stable, Security_Severity-Critical, Stability-Crash, Type-Bug-Security, allpublic, merge-merged-963","All","Dec 30, 2011 19:05:37","1325271937","2011-3961","Critical",""
"112391","Internals, Platform>Extensions","Fixed","Heap-use-after-free in ExtensionHost","M-18, OS-All, Pri-0, Restrict-AddIssueComment-EditIssue, Security_Impact-None, Security_Severity-Critical, Stability-Memory-AddressSanitizer, Type-Bug-Security, allpublic","All","Feb 02, 2012 00:51:04","1328143864","","Critical",""
"116994","Internals","Fixed","Heap-use-after-free in chrome::ChromeContentBrowserClient::RequestMediaAccessPermission","Clusterfuzz, M-19, OS-All, Pri-0, Restrict-AddIssueComment-EditIssue, Security_Impact-None, Security_Severity-Critical, Stability-Memory-AddressSanitizer, Type-Bug-Security, allpublic","All","Mar 06, 2012 17:12:53","1331053973","","Critical",""
"118414","Blink>WebRTC, Internals","Fixed","Heap use after free on chrome_content_browser_client.cc with webrtc","M-19, OS-All, Pri-1, Restrict-AddIssueComment-EditIssue, Reward-1000, Security_Impact-None, Security_Severity-Critical, Type-Bug-Security, allpublic","All","Mar 15, 2012 16:17:51","1331828271","","Critical",""
"122654","Internals","Fixed","Chrome: Crash Report: SocketStreamDispatcherHost::CancelSSLRequest","CVE-2011-3106, M-19, Merge-Merged, MovedFrom-20, MovedFrom-21, OS-All, Pri-0, Restrict-AddIssueComment-EditIssue, Security_Impact-Stable, Security_Severity-Critical, Stability-Crash, Type-Bug-Security, allpublic, merge-merged-1084, merge-merged-1132","All","Apr 09, 2012 18:12:58","1333995178","2011-3106","Critical",""
"211914","UI, UI>Shell>Kiosk","Verified","Re-logins automatically without starting screensaver","M-20, OS-Chrome, Pri-0, ReleaseBlock-Dev, Security, Security_Severity-Critical, Sev-0, Type-Bug-Regression, iteration-54","Chrome","Apr 12, 2012 00:05:03","1334189103","","Critical",""
"125159","Internals, Internals>Network>Cache","Fixed","Chrome chrashes when pressing back button on a page that is still downloading a big gif image","CVE-2011-3108, M-19, Merge-Merged, OS-All, Pri-2, Restrict-AddIssueComment-EditIssue, Reward-1337, Security_Impact-Stable, Security_Severity-Critical, Stability-Crash, Type-Bug-Security, allpublic, merge-merged-1084, merge-merged-1132","All","Apr 26, 2012 09:49:23","1335433763","2011-3108","Critical",""
"128178","Blink","Fixed","Heap-use-after-free in fileapi::FileSystemOperation::DidGetUsageAndQuotaAndRunTask","M-21, OS-All, Pri-0, Restrict-AddIssueComment-EditIssue, Security_Impact-None, Security_Severity-Critical, Stability-Memory-AddressSanitizer, Type-Bug-Security, allpublic, reward-3133","All","May 15, 2012 16:06:56","1337098016","","Critical",""
"128339","Blink, Internals>Network>SSL, Platform>DevTools","Duplicate","SSL/TLS WebSocket connection with invalid server certificate hangs and closing tab leads to crash","M-19, OS-All, Pri-0, Restrict-AddIssueComment-EditIssue, Security_Impact-Stable, Security_Severity-Critical, Stability-Crash, Type-Bug-Security, allpublic","All","May 16, 2012 12:50:06","1337172606","","Critical","122654"
"135043","Blink>WebRTC, Internals","Fixed","Heap-use-after-free in media_stream::","M-21, Merge-Merged, OS-All, Pri-0, ReleaseBlock-Beta, Restrict-AddIssueComment-EditIssue, Security_Impact-Beta, Security_Severity-Critical, Type-Bug-Security, allpublic, merge-merged-1180, reward-3133","All","Jun 28, 2012 19:19:49","1340911189","","Critical",""
"137541","Internals, UI>Browser>TabContents","Fixed","Reproduceable crash. Changing tabs while a specific text field has focus.","CVE-2012-2859, M-21, OS-Linux, Pri-0, Restrict-AddIssueComment-EditIssue, Security_Impact-Stable, Security_Severity-Critical, Stability-Crash, Type-Bug-Security, allpublic, merge-merged-1180","Linux","Jul 16, 2012 19:02:35","1342465355","2012-2859","Critical",""
"140142","Blink","Fixed","Heap-use-after-free in base::internal::WeakReference::is_valid","Clusterfuzz, M-22, OS-All, Pri-0, Security-CodeYellow, Security_Impact-None, Security_Severity-Critical, Stability-Memory-AddressSanitizer, Type-Bug-Security, allpublic","All","Aug 02, 2012 00:07:54","1343866074","","Critical",""
"141901","Blink>WebGL, Internals, Internals>GPU","Verified","Security: mesa stack scribbling thingamadoo","CVE-2012-2864, M-21, M-22, Merge-Merged, OS-Chrome, PendingDev-Feedback, Pri-1, Security_Impact-Stable, Security_Severity-Critical, Type-Bug-Security, allpublic, reward-3133","Chrome","Aug 10, 2012 18:10:02","1344622202","2012-2864","Critical",""
"147499","Internals, Internals>Media>Audio","Fixed","Heap-use-after-free in media::AudioOutputDevice::AudioThreadCallback::Process","CVE-2012-5108, M-22, Merge-Merged-1271, OS-All, Pri-1, ReleaseBlock-Stable, Security_Impact-Stable, Security_Severity-Critical, Type-Bug-Security, allpublic, merge-merged-1229, reward-3133","All","Sep 09, 2012 21:14:18","1347225258","2012-5108","Critical",""
"160803","Internals","Fixed","Security: ugly crash with history.replaceState() while the window displays HTTPS interstitial","CVE-2012-5142, M-23, Merge-Merged-1271, OS-All, Pri-1, Security_Impact-Stable, Security_Severity-Critical, Type-Bug-Security, allpublic, merge-merged-1312","All","Nov 13, 2012 21:24:14","1352841854","2012-5142","Critical",""
"169054","Internals, Internals>GPU","Verified","Security: memory corruption with webgl on linux intel driver","M-25, Merge-Merged, OS-Chrome, OS-Linux, Pri-0, Release-0, Security_Impact-Stable, Security_Severity-Critical, Type-Bug-Security, allpublic, reward-3133","Chrome, Linux","Jan 09, 2013 19:38:06","1357760286","","Critical",""
"175069","Internals","Verified","Heap-use-after-free in net::SpdySession::DoLoop","M-26, Merge-Merged-1410, Merge-Merged-1453, OS-Chrome, OS-Linux, Pri-1, Security_Impact-None, Security_Severity-Critical, Stability-Memory-AddressSanitizer, Type-Bug-Security, allpublic","Chrome, Linux","Feb 08, 2013 08:23:58","1360311838","","Critical",""
"175518","Internals, Internals>Network","Duplicate","Security: Use-after-free on SSLClientSocketNSS","Hotlist-SyzyASAN, OS-Windows, Pri-1, Security_Severity-Critical, Type-Bug-Security, allpublic","Windows","Feb 11, 2013 21:21:22","1360617682","","Critical","173465"
"232633","Internals>Network>HTTP2, Internals>Network>SSL","Fixed","use-after-free on net::SSLClientSocketNSS::Core::OnSendComplete","CVE-2013-2863, Hotlist-SyzyASAN, M-27, OS-Android, OS-Mac, OS-Windows, OS-iOS, Pri-1, Release-1, Security-Code28, Security_Impact-Stable, Security_Severity-Critical, Stability-Memory-AddressSanitizer, Type-Bug-Security, allpublic, merge-merged-1500","Android, Mac, Windows, iOS","Apr 17, 2013 18:43:07","1366224187","2013-2863","Critical",""
"236949","Content, Internals>GPU","Duplicate","Heap-use-after-free in content::GpuChannelHost::MessageFilter::OnChannelError","Clusterfuzz, Hotlist-SyzyASAN, M-27, OS-Windows, Pri-0, Security_Impact-Stable, Security_Severity-Critical, Type-Bug-Security, allpublic","Windows","Apr 30, 2013 20:51:16","1367355076","","Critical","232532"
"239580","Content","Fixed","Heap-use-after-free in net::SniffMimeType","Clusterfuzz, M-29, OS-All, Pri-0, Security-Code28, Security_Impact-None, Security_Severity-Critical, Stability-Memory-AddressSanitizer, Type-Bug-Security, allpublic","All","May 09, 2013 20:34:09","1368131649","","Critical",""
"242762","Blink, Blink>Network>WebSockets, Blink>Workers","Fixed","Security: Use-after-free in net::SocketStream::Finish","CVE-2013-2870, M-28, Merge-Merged, OS-All, Pri-1, Release-0, Security_Impact-Stable, Security_Severity-Critical, Type-Bug-Security, allpublic, reward-3133","All","May 22, 2013 02:05:04","1369188304","2013-2870","Critical",""
"244746","Blink>Network>WebSockets, Blink>Workers","Verified","UrlRequestContext can be deleted while a live SocketStream has a pointer to it (vtable UAF)","CVE-2013-2870, M-28, Merge-Merged, OS-All, Pri-0, Release-0, Security-Code28, Security_Impact-Stable, Security_Severity-Critical, Type-Bug-Security, allpublic, reward-3133, reward-inprocess","All","May 29, 2013 06:57:38","1369810658","2013-2870","Critical",""
"254928","Internals>Network","Fixed","Heap-use-after-free in net::HostResolverImpl::Job::OnDnsTaskFailure","Clusterfuzz, OS-All, Pri-1, Security_Impact-None, Security_Severity-Critical, Stability-Memory-AddressSanitizer, Type-Bug-Security, allpublic","All","Jun 27, 2013 11:38:53","1372333133","","Critical",""
"302790","Internals>Network>SSL","Verified","Integer truncation leads to runaway memset in NSS certificate parsing","Arch-x86_64, M-31, Merge-Merged-1700, OS-Chrome, OS-Linux, Pri-0, Security_Severity-Critical, Type-Bug, VerifyIn-36, VerifyIn-38, VerifyIn-39, VerifyIn-40, VerifyIn-41, VerifyIn-42, VerifyIn-43, VerifyIn-44, VerifyIn-45, VerifyIn-46, VerifyIn-50","Chrome, Linux","Oct 01, 2013 22:27:38","1380666458","","Critical",""
"314225","Internals>Network>SSL","Fixed","Heap-buffer-overflow in Null_Cipher","CVE-2013-5605, Clusterfuzz, M-31, Merge-Merged, OS-All, Pri-0, Release-0-M31, ReleaseBlock-Stable, Security_Impact-Stable, Security_Severity-Critical, Stability-Memory-AddressSanitizer, Type-Bug-Security, allpublic, merge-merged-1650","All","Nov 01, 2013 21:47:33","1383342453","2013-5605","Critical",""
"319117","Internals","Fixed","Master bug for Mobile Pwn2Own 2013 exploit from Pinkie Pie","CVE-2013-6632, M-31, M-32, Merge-na, Nag, OS-All, Pri-0, Security_Impact-Stable, Security_Severity-Critical, Type-Bug-Security, allpublic, reward-ineligible","All","Nov 14, 2013 04:54:40","1384404880","2013-6632","Critical",""
"321831","Internals>Skia","Fixed","UNKNOWN in SkProcCoeffXfermode::CreateProc","Clusterfuzz, M-33, Merge-na, OS-All, Pri-0, Security_Impact-None, Security_Severity-Critical, Stability-Memory-AddressSanitizer, Type-Bug-Security, allpublic","All","Nov 21, 2013 00:21:20","1384993280","","Critical",""
"326197","Internals>Skia","Fixed","Heap-buffer-overflow in SkDiffuseLightingImageFilter::onFilterImage","Clusterfuzz, M-33, Merge-na, OS-All, Pri-1, Security_Impact-None, Security_Severity-Critical, Stability-Memory-AddressSanitizer, Type-Bug-Security, allpublic","All","Dec 05, 2013 16:57:30","1386262650","","Critical",""
"326206","Internals>Skia","Fixed","Heap-buffer-overflow in SkDilateX_SSE2","Clusterfuzz, M-33, Merge-na, OS-All, Pri-1, Security_Impact-None, Security_Severity-Critical, Stability-Memory-AddressSanitizer, Type-Bug-Security, allpublic","All","Dec 05, 2013 17:26:51","1386264411","","Critical",""
"326229","Internals>Skia","Fixed","Heap-buffer-overflow in SkBicubicImageFilter::onFilterImage","Clusterfuzz, M-33, Merge-na, OS-All, Pri-1, Security_Impact-None, Security_Severity-Critical, Stability-Memory-AddressSanitizer, Type-Bug-Security, allpublic","All","Dec 05, 2013 18:27:28","1386268048","","Critical",""
"344051","OS>Packages","Verified","Security: dump_vpd_log can be tricked into creating a file (or corrupt non-regular file)","CVE-2014-1708, M-33, M-34, OS-Chrome, Pri-0, Release-3-M33, Security_Impact-Stable, Security_Severity-Critical, Type-Bug-Security, allpublic","Chrome","Feb 14, 2014 23:06:20","1392419180","2014-1708","Critical",""
"345686","Internals>GPU","Duplicate","Heap-use-after-free in content::GpuProcessHost::~GpuProcessHost","Clusterfuzz, Merge-na, OS-All, Pri-0, Security_Impact-Beta, Security_Severity-Critical, Stability-Memory-AddressSanitizer, Type-Bug-Security, allpublic","All","Feb 21, 2014 14:36:57","1392993417","","Critical","344266"
"352369","","Fixed","Pwn2own (3/13/2014): VUPEN exploit.","M-33, OS-All, Pri-0, Release-3-M33, Security_Impact-Stable, Security_Severity-Critical, Type-Bug-Security, allpublic","All","Mar 13, 2014 22:24:54","1394749494","","Critical",""
"354669","Internals>Network>QUIC","Verified","Chrome_ChromeOS: Crash Report - net::QuicConnection::CanWrite","M-36, Merge-na, OS-Chrome, Pri-0, Release-0-M36, Security_Impact-None, Security_Severity-Critical, Stability-Crash, Type-Bug-Security, adjustedpriority, allpublic","Chrome","Mar 20, 2014 23:07:08","1395356828","","Critical",""
